City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Port Elizabeth,19,ZA,1659388893,93,-33.918,25.5701,39.49,3.44
81,Bitung,66,ID,1659388894,80,1.4451,125.1824,76.05,3.98
82,Yellowknife,75,CA,1659388644,39,62.456,-114.3525,66.72,9.22
83,Bābra,99,IN,1659388894,80,21.85,71.3,79.11,10.8
84,Tando Jam,11,PK,1659388894,77,25.4272,68.5362,83.93,17.72
85,Cabo San Lucas,75,MX,1659388718,51,22.8909,-109.9124,89.91,13.8
86,Geraldton,75,AU,1659388895,72,-28.7667,114.6,57.61,24.16
87,Āsbe Teferī,97,ET,1659388895,86,9.0833,40.8667,61.59,6.76
88,Hilo,100,US,1659388896,75,19.7297,-155.09,85.28,10.36
89,West Point,40,US,1659388896,59,33.6076,-88.6503,93.49,3.44
90,Airai,95,TL,1659388896,89,-8.9266,125.4092,54.41,2.57
91,Makakilo City,75,US,1659388897,54,21.3469,-158.0858,82.72,20.71
92,Hamilton,75,US,1659388778,68,39.1834,-84.5333,85.95,11.5
93,Lebu,5,CL,1659388897,77,-37.6167,-73.65,49.26,13.13
94,Emba,95,KZ,1659388898,63,48.8264,58.1442,69.39,7.65
95,Hyères,0,FR,1659388898,67,43.1167,6.1167,79.45,8.05
96,Poya,49,NC,1659388898,86,-21.35,165.15,72.19,5.12
97,Sabha,0,LY,1659388898,18,27.0377,14.4283,87.67,8.48
98,Port Hedland,75,AU,1659388899,83,-20.3167,118.5667,73.45,9.22
99,Rabo de Peixe,75,PT,1659388899,78,37.8,-25.5833,71.11,3.44
100,Avarua,20,CK,1659388899,65,-21.2078,-159.775,78.85,17.27
101,Zarechnyy,100,RU,1659388900,78,53.2036,45.1923,60.94,5.23
102,Yumen,100,CN,1659388900,47,40.2833,97.2,72.34,10.85
103,Bethel,100,US,1659388901,77,41.3712,-73.414,79.65,8.05
104,Saint-Philippe,2,RE,1659388901,77,-21.3585,55.7679,65.79,4.47
105,New Norfolk,41,AU,1659388901,83,-42.7826,147.0587,44.1,3.0
106,Bonthe,100,SL,1659388901,84,7.5264,-12.505,76.62,11.68
107,Kaohsiung City,75,TW,1659388796,88,22.6163,120.3133,82.04,2.3
108,Iskateley,100,RU,1659388902,96,67.6803,53.1512,61.23,5.64
109,Thompson,75,CA,1659388840,37,55.7435,-97.8558,68.16,9.22
110,George Town,40,MY,1659388665,93,5.4112,100.3354,80.89,2.3
111,Arman',100,RU,1659388902,93,59.7,150.1667,57.02,6.29
112,Kalabo,0,ZM,1659388903,27,-14.97,22.6814,63.27,5.28
113,Souillac,75,MU,1659388903,94,-20.5167,57.5167,66.58,3.44
114,Ribeira Grande,17,PT,1659388904,73,38.5167,-28.7,75.22,9.89
115,Wangou,0,CN,1659388904,97,42.0623,126.9127,67.21,1.5
116,Rawlins,0,US,1659388904,13,41.7911,-107.2387,89.35,11.5
117,San-Pédro,100,CI,1659388905,76,4.7485,-6.6363,74.82,8.14
118,Henties Bay,0,NA,1659388905,86,-22.116,14.2845,52.95,2.35
119,Qaanaaq,21,GL,1659388905,58,77.484,-69.3632,48.29,1.54
120,Hasaki,100,JP,1659388906,84,35.7333,140.8333,81.28,5.26
121,Smithers,40,CA,1659388906,43,54.7804,-127.1743,70.12,12.66
122,Atar,58,MR,1659388907,34,20.5169,-13.0499,97.0,11.05
123,Chanika,42,TZ,1659388907,95,-5.4167,38.0167,62.28,2.1
124,Laguna,0,US,1659388750,58,38.421,-121.4238,88.97,6.91
125,Chokurdakh,94,RU,1659388907,77,70.6333,147.9167,50.41,10.25
126,Poum,30,NC,1659388908,83,-20.2333,164.0167,74.19,13.69
127,Cooma,80,AU,1659388908,91,-36.2333,149.1333,35.19,4.83
128,Vestmannaeyjar,4,IS,1659388908,69,63.4427,-20.2734,50.4,22.7
129,Saint George,0,US,1659388616,36,37.1041,-113.5841,95.25,10.36
130,Rincon,75,US,1659388909,62,32.296,-81.2354,92.95,5.75
131,Sechura,24,PE,1659388909,61,-5.5569,-80.8222,74.17,15.32
132,Nhulunbuy,75,AU,1659388910,94,-12.2333,136.7667,74.01,5.75
133,Qiqihar,93,CN,1659388910,74,47.3408,123.9672,72.82,8.37
134,Galveston,0,US,1659388781,63,29.3669,-94.9669,96.1,17.27
135,Port Macquarie,0,AU,1659388911,84,-31.4333,152.9167,45.9,5.03
136,Danilovka,14,RU,1659388911,61,50.3557,44.1168,68.72,8.95
137,Mopti,20,ML,1659388911,88,14.6667,-4.0,77.04,9.22
138,Kidal,8,ML,1659388912,25,18.4411,1.4078,96.42,12.28
139,La Asuncion,81,VE,1659388912,75,11.0333,-63.8628,81.9,12.88
140,San Patricio,68,US,1659388912,41,28.017,-97.5169,96.19,17.92
141,Ontario,75,US,1659388913,35,34.0633,-117.6509,99.01,17.27
142,Dhidhdhoo,100,MV,1659388913,78,6.8833,73.1,79.45,24.14
143,Ambanja,40,MG,1659388913,90,-13.6833,48.45,68.41,3.89
144,Jalu,0,LY,1659388914,46,29.0331,21.5482,84.43,13.58
145,Laas,78,IT,1659388914,77,46.6166,10.7002,68.88,3.09
146,Kloulklubed,100,PW,1659388914,76,7.0419,134.2556,73.9,10.4
147,Pevek,61,RU,1659388915,68,69.7008,170.3133,48.78,22.41
148,Praia da Vitória,20,PT,1659388915,83,38.7333,-27.0667,75.76,4.21
149,Pisco,0,PE,1659388915,72,-13.7,-76.2167,64.45,9.22
150,Cuiluan,99,CN,1659388916,95,47.72,128.648,67.71,2.33
151,Maralal,99,KE,1659388916,81,1.0968,36.698,59.88,3.74
152,Marzuq,12,YE,1659388916,60,14.4,46.4667,77.81,4.27
153,Lüderitz,0,NA,1659388917,77,-26.6481,15.1594,53.58,5.21
154,Cabra,0,ES,1659388917,43,37.4725,-4.4421,82.56,6.67
155,Boralday,75,KZ,1659388917,52,43.3578,76.8594,67.86,6.71
156,Kavaratti,100,IN,1659388918,86,10.5669,72.642,77.67,26.84
157,Conceição das Alagoas,53,BR,1659388918,27,-19.9147,-48.3883,83.98,7.99
158,Angoche,16,MZ,1659388918,85,-16.2325,39.9086,72.07,7.45
